filename,source_url,description,row_count,columns,date_range,data_type,key_elasticity_columns,status,note
scanner_data.csv,https://archive.ics.uci.edu/dataset/502/online+retail+ii,"UK online retailer transactions, Dec 2009-Dec 2011. Substituted for the gated Kaggle 'retail-scanner-data' notebook dataset (marian447), which itself appears to derive from this same UCI source (5,305 SKUs here vs. the Kaggle listing's stated 5,242). Transaction-level, real invoice/quantity/price/customer data -- suitable directly for log-log elasticity regression.",1067371,8,2009-12-01 to 2011-12-09,transaction,"InvoiceDate,Quantity,Price,StockCode,Customer ID",downloaded,"5305 unique SKUs, 5942 unique customers, 43 countries. 6207 rows with Price<=0 and 22950 rows with negative Quantity (returns) -- filter both before fitting elasticity."
monash_dominicks.csv,https://zenodo.org/records/4654802,"Monash Time Series Forecasting Archive's 'Dominick Dataset': weekly per-SKU profit, reformatted from Kilts Center Dominick's Finer Foods scanner data. No store ID, UPC, category label, or calendar date -- series are anonymized (T1..T115704) and 'Week_Index' is a per-series relative index, not a date. Useful for time-series elasticity modeling, not for category-level breakdowns (see cheese.csv / dominicks_combined.csv, both manual_required).",19092987,3,"relative week 0-392 per series, no calendar dates",weekly,"SKU_ID,Week_Index,Weekly_Profit",downloaded,"115704 unique series. 9366843 of 19092987 rows are zero-profit weeks (no sale that week, not missing data)."
usda_elasticities.csv,https://www.ers.usda.gov/data-products/commodity-and-food-elasticities/documentation,"USDA Economic Research Service compilation of own-price, cross-price, and income elasticity estimates drawn from published literature across 100+ countries/commodities. Pre-computed elasticities (not transaction data) -- useful as an external benchmark to sanity-check whatever the model fits from scanner_data.csv. Not updated since 2006.",14173,24,"studies published through 2006, covering data periods back to the 1960s-90s",aggregated,"MAJOR_COMMODITY,GEOGRAPHY,ELASTICITY_INFO,AMOUNT,DATA_PERIOD",downloaded,"116 distinct geographies, 293 major commodities, 4 elasticity types (own price/cross price/income/etc). One row per literature-reported estimate, not per commodity -- expect duplicates across studies."
fish_prices.csv,"https://pypi.org/project/wooldridge/ (dataset: fish, Graddy 1995)","Graddy (1995) Fulton Fish Market daily price/quantity by buyer type (Asian vs. white wholesalers), 97 daily observations, with wave-height/wind-speed instruments for IV elasticity estimation -- a classic clean supply/demand identification dataset.",97,20,,aggregated,"avgprc,totqty,prca,prcw,qtya,qtyw,wave2,speed2",downloaded,"97 daily market-level observations, no missing avgprc/totqty rows -- small enough for a demo/test fixture rather than primary modeling data."
smoking_prices.csv,"https://pypi.org/project/wooldridge/ (dataset: smoke, Mullahy 1997)","Mullahy (1997) cross-section of 807 individuals: state cigarette price (cigpric, cents/pack) vs. cigarettes/day (cigs), with income/education/age/restaurant-smoking-ban controls -- a demand elasticity dataset at the individual level rather than SKU level.",807,10,,aggregated,"cigpric,cigs,income,educ,age,restaurn",downloaded,497 of 807 respondents report zero cigarettes/day (non-smokers) -- consider a two-part/Tobit model rather than plain OLS.
dominicks_oj.csv,https://raw.githubusercontent.com/cran/bayesm/master/data/orangeJuice.rda,"106,139 store-brand-weeks covering 11 orange juice brands: log units moved, the price of every brand on the shelf that week, and in-store display (deal) and feature-ad (feat) flags. This is the real thing -- a full scanner panel with promotions -- and the only dataset here with enough cross-price structure to measure what a competitor's discount does to your volume.",106139,19,"1989-1994, weekly",store-brand-week panel,"store,brand,week,logmove,price1..price11,deal,feat",downloaded,"bayesm::orangeJuice — GPL (>= 2). Dominick's Finer Foods store-level scanner data, distributed as bayesm::orangeJuice (Rossi, Allenby & McCulloch, Bayesian Statistics and Marketing). The raw Kilts Center Dominick's archive needs academic registration; this 11-brand extract is redistributed on CRAN under GPL, which is why it's reachable here at all."
cigar_state_panel.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Cigar.html,"1,380 state-years of per-capita cigarette sales against retail price, with CPI for deflation and the minimum price in neighbouring states (which is how cross-border bootlegging shows up in the data). Thirty years of tax-driven price variation -- the closest thing to a natural experiment in this collection.",1380,9,"1963-1992, annual",state-year panel,"state,year,price,sales,cpi,ndi,pimin",downloaded,Ecdat::Cigar — GPL (>= 2). Baltagi & Levin (1992); Baltagi et al. (2000). Ecdat::Cigar.
cigarettes_sw.csv,https://vincentarelbundock.github.io/Rdatasets/doc/AER/CigarettesSW.html,"The textbook instrumental-variables dataset: packs per capita and average price, with the general sales tax split out from the cigarette-specific tax. The sales-tax share moves price without being caused by how much people smoke, which is what makes an honest causal estimate possible here and nowhere else in this collection except the fish market.",96,9,1985 and 1995,state panel,"state,year,packs,price,tax,taxs,income,cpi",downloaded,"AER::CigarettesSW — GPL-2 | GPL-3. Stock & Watson, Introduction to Econometrics. AER::CigarettesSW."
gasoline_oecd.csv,https://vincentarelbundock.github.io/Rdatasets/doc/AER/OECDGas.html,"342 country-years of motor gasoline consumption per car against real fuel price, already in logs. A necessity with no close substitute, which is what an inelastic number is supposed to look like.",342,6,"1960-1978, annual",country-year panel,"country,year,gas,price,income,cars",downloaded,AER::OECDGas — GPL-2 | GPL-3. Baltagi & Griffin (1983). AER::OECDGas / Ecdat::Gasoline.
natural_gas_states.csv,https://vincentarelbundock.github.io/Rdatasets/doc/AER/NaturalGas.html,"Residential gas consumption against its own price *and* the price of electricity and heating oil, with heating degree-days. One of the few datasets here that can separate 'people used less' from 'people switched to the substitute'.",138,10,"1967-1989, annual",state-year panel,"state,year,consumption,price,eprice,oprice,heating,income",downloaded,"AER::NaturalGas — GPL-2 | GPL-3. Balestra & Nerlove (1966); Greene, Econometric Analysis. AER::NaturalGas."
rail_freight_cartel.csv,https://vincentarelbundock.github.io/Rdatasets/doc/AER/CartelStability.html,"328 weeks of grain shipment volumes and rates, flagged for whether the cartel was holding or had collapsed that week. Price wars move the supply curve without moving demand, so the collapses trace out the demand curve -- the identification argument that made this paper famous.",328,5,"1880-1886, weekly",weekly time series,"price,quantity,cartel,season,ice",downloaded,"AER::CartelStability — GPL-2 | GPL-3. Porter (1983), 'A Study of Cartel Stability'. AER::CartelStability."
economics_journals.csv,https://vincentarelbundock.github.io/Rdatasets/doc/AER/Journals.html,"Library subscriptions against price per citation. A textbook demand curve with an unusually clean quality control, and the standard worked example of a log-log elasticity regression.",180,10,2000,cross-section,"subs,price,citations,pages,foundingyear",downloaded,"AER::Journals — GPL-2 | GPL-3. Bergstrom (2001), 'Free Labor for Costly Journals?'. AER::Journals."
avocados_california.csv,https://vincentarelbundock.github.io/Rdatasets/doc/causaldata/avocado.html,"169 weeks of average price and total units sold, straight off retailers' checkout scanners. A single fresh commodity with obvious substitutes, at the opposite end of the shelf from cigarettes.",169,3,"2015-2018, weekly",weekly time series,"Date,AveragePrice,TotalVolume",downloaded,"causaldata::avocado — MIT. Hass Avocado Board retail scan data, via causaldata::avocado (Huntington-Klein)."
ice_cream.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Icecream.html,"30 four-week periods of consumption, price, income and mean temperature. Tiny, and included because temperature is the textbook example of a demand shifter you must control for or the price coefficient absorbs the weather.",30,4,"1951-1953, four-weekly",time series,"cons,price,income,temp",downloaded,Ecdat::Icecream — GPL (>= 2). Hildreth & Lu (1960). Ecdat::Icecream.
us_gasoline_market.csv,https://vincentarelbundock.github.io/Rdatasets/doc/AER/USGasG.html,"36 years of national per-capita fuel consumption against real price and income. The aggregate counterpart to the OECD panel: same product, one country, much less identifying variation.",36,10,"1960-1995, annual",time series,"gas,price,income,newcar,usedcar",downloaded,"AER::USGasG — GPL-2 | GPL-3. Greene, Econometric Analysis, Table F2.2. AER::USGasG."
recreation_trips.csv,https://vincentarelbundock.github.io/Rdatasets/doc/AER/RecreationDemand.html,"659 households and what a trip cost them to take, which is the price of a good nobody sells. Included as the widest possible contrast with a supermarket shelf.",659,8,1980 survey,cross-section,"trips,costS,costC,costH,income,quality,ski",downloaded,AER::RecreationDemand — GPL-2 | GPL-3. Ozuna & Gomez (1995); Cameron & Trivedi (1998). AER::RecreationDemand.
choice_ketchup.csv,https://vincentarelbundock.github.io/Rdatasets/doc/Ecdat/Ketchup.html,"4,956 purchase occasions across four ketchup brands, with every brand's price at the moment of choice.",4956,7,scanner panel,brand-choice panel,"Ketchup.choice,price.heinz,price.hunts,price.delmonte,price.stb",downloaded,"Ecdat::Ketchup — GPL (>= 2). Kim, Allenby & Rossi (2002). Ecdat::Ketchup."
